HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6102.30.05.00","2","Containing 25 percent or more by weight of leather (635)","[""doz."",""kg""]","5.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"6102.30.10.00","3","Containing 23 percent or more by weight of wool or fine animal hair (435)","[""doz."",""kg""]","64.4¢/kg + 18.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","68.3¢/kg + 54.5%","",""
"6102.30.20","3","Other","","28.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6102.30.20.10","4","Women's (635)","[""doz."",""kg""]","","","","",""
"6102.30.20.20","4","Girls' (635)","[""doz."",""kg""]","","","","",""
"6102.90","1","Of other textile materials:","","","","","",""
"6102.90.10.00","2","Containing 70 percent or more by weight of silk or silk waste (735)","[""doz."",""kg""]","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6102.90.90","2","Other","","5.7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6102.90.90.05","3","Subject to cotton restraints (335)","[""doz."",""kg""]","","","","",""
"6102.90.90.10","3","Subject to wool restraints (435)","[""doz."",""kg""]","","","","",""
"6102.90.90.15","3","Subject to man-made fiber restraints (635)","[""doz."",""kg""]","","","","",""
"6102.90.90.30","3","Other (835)","[""doz."",""kg""]","","","","",""
"6103","0","Men's or boys' suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:","","","","","",""
"6103.10","1","Suits:","","","","","",""
"6103.10.10.00","2","Of wool or fine animal hair (443)","[""No."",""kg""]","38.8¢/kg + 10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"","2","Of synthetic fibers:","","","","","",""
"6103.10.20.00","3","Containing 23 percent or more by weight of wool or fine animal hair (443)","[""No."",""kg""]","60.3¢/kg + 15.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6103.10.30.00","3","Other (643)","[""No."",""kg""]","28.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","72%","",""
"","2","Of other textile materials:","","","","","",""
"","3","Of artificial fibers:","","","","","",""
"6103.10.40.00","4","Containing 23 percent or more by weight of wool or fine animal hair (443)","[""No."",""kg""]","Free","","77.2¢/kg + 54.5%","",""
"6103.10.50.00","4","Other (643)","[""No."",""kg""]","Free","","72%","",""
"6103.10.60","3","Of cotton","","9.4%","Free (AU,BH, CL,CO, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6103.10.60.10","4","Jackets imported as parts of suits (333)","[""doz."",""kg""]","","","","",""
"6103.10.60.15","4","Trousers, breeches and shorts imported as parts of suits (347)","[""doz."",""kg""]","","","","",""
"6103.10.60.30","4","Waistcoats imported as parts of suits (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.10.70.00","3","Containing 70 percent or more by weight of silk or silk waste (743)","[""No."",""kg""]","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"6103.10.90","3","Other","","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","45%","",""
"","4","Subject to cotton restraints:","","","","","",""
"6103.10.90.10","5","Jackets imported as parts of suits (333)","[""doz."",""kg""]","","","","",""
"6103.10.90.20","5","Trousers, breeches, and shorts imported as parts of suits (347)","[""doz."",""kg""]","","","","",""
"6103.10.90.30","5","Waistcoats imported as parts of suits (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.10.90.40","4","Subject to wool restraints (443)","[""No."",""kg""]","","","","",""
"6103.10.90.50","4","Subject to man-made fiber restraints (643)","[""No."",""kg""]","","","","",""
"6103.10.90.80","4","Other (843)","[""No."",""kg""]","","","","",""
"","1","Ensembles:","","","","","",""
"6103.22.00","2","Of cotton","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"6103.22.00.10","3","Garments described in heading 6101 (334)","[""doz."",""kg""]","","","","",""
"6103.22.00.20","3","Jackets and blazers described in heading 6103 (333)","[""doz."",""kg""]","","","","",""
"6103.22.00.30","3","Trousers and breeches (347)","[""doz."",""kg""]","","","","",""
"6103.22.00.40","3","Shorts (347)","[""doz."",""kg""]","","","","",""
"6103.22.00.50","3","Shirts (338)","[""doz."",""kg""]","","","","",""
"6103.22.00.70","3","Sweaters (345)","[""doz."",""kg""]","","","","",""
"6103.22.00.80","3","Other (359)","[""doz."",""kg""]","","","","",""
"6103.23.00","2","Of synthetic fibers","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"","3","Containing 23 percent or more by weight of wool or fine animal hair:","","","","","",""
"6103.23.00.05","4","Garments described in heading 6101 (434)","[""doz."",""kg""]","","","","",""
"6103.23.00.07","4","Jackets and blazers described in heading 6103 (433)","[""doz."",""kg""]","","","","",""
"6103.23.00.10","4","Trousers, breeches and shorts (447)","[""doz."",""kg""]","","","","",""
"6103.23.00.25","4","Shirts (438)","[""doz."",""kg""]","","","","",""
"6103.23.00.30","4","Sweaters (445)","[""doz."",""kg""]","","","","",""
"6103.23.00.35","4","Other (459)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6103.23.00.36","4","Garments described in heading 6101 (634)","[""doz."",""kg""]","","","","",""
"6103.23.00.37","4","Jackets and blazers described in heading 6103 (633)","[""doz."",""kg""]","","","","",""
"6103.23.00.40","4","Trousers and breeches (647)","[""doz."",""kg""]","","","","",""
"6103.23.00.45","4","Shorts (647)","[""doz."",""kg""]","","","","",""
"6103.23.00.55","4","Bib and brace overalls (659)","[""doz."",""kg""]","","","","",""
"6103.23.00.70","4","Sweaters (645)","[""doz."",""kg""]","","","","",""
"6103.23.00.75","4","Shirts (638)","[""doz."",""kg""]","","","","",""
"6103.23.00.80","4","Other (659)","[""doz."",""kg""]","","","","",""
"6103.29","2","Of other textile materials:","","","","","",""
"6103.29.05","3","Of wool or fine animal hair","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"6103.29.05.10","4","Garments described in heading 6101 (434)","[""doz."",""kg""]","","","","",""
"6103.29.05.20","4","Jackets and blazers described in heading heading 6103 (433)","[""doz."",""kg""]","","","","",""
"6103.29.05.30","4","Trousers, breeches and shorts (447)","[""doz."",""kg""]","","","","",""
"6103.29.05.50","4","Shirts (438)","[""doz."",""kg""]","","","","",""
"6103.29.05.60","4","Sweaters (445)","[""doz."",""kg""]","","","","",""
"6103.29.05.70","4","Other (459)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.29.10","3","Of artificial fibers","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"6103.29.10.10","4","Garments described in heading 6101 (634)","[""doz."",""kg""]","","","","",""
"6103.29.10.15","4","Jackets and blazers described in heading 6103 (633)","[""doz."",""kg""]","","","","",""
"6103.29.10.20","4","Trousers and breeches (647)","[""doz."",""kg""]","","","","",""
"6103.29.10.30","4","Shorts (647)","[""doz."",""kg""]","","","","",""
"6103.29.10.40","4","Sweaters (645)","[""doz."",""kg""]","","","","",""
"6103.29.10.50","4","Shirts (638)","[""doz."",""kg""]","","","","",""
"6103.29.10.60","4","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.29.20","3","Other","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"","4","Garments described in heading 6101:","","","","","",""
"6103.29.20.28","5","Containing 70 percent or more by weight of silk or silk waste (734)","[""doz."",""kg""]","","","","",""
"6103.29.20.30","5","Other (834)","[""doz."",""kg""]","","","","",""
"","4","Jackets and blazers described in heading 6103:","","","","","",""
"6103.29.20.34","5","Containing 70 percent or more by weight of silk or silk waste (733)","[""doz."",""kg""]","","","","",""
"6103.29.20.36","5","Other (833)","[""doz."",""kg""]","","","","",""
"","4","Trousers, breeches and shorts:","","","","","",""
"6103.29.20.40","5","Containing 70 percent or more by weight of silk or silk waste (747)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6103.29.20.44","6","Trousers and breeches (847)","[""doz."",""kg""]","","","","",""
"6103.29.20.48","6","Shorts (847)","[""doz."",""kg""]","","","","",""
"","4","Shirts:","","","","","",""
"6103.29.20.52","5","Containing 70 percent or more by weight of silk or silk waste (738)","[""doz."",""kg""]","","","","",""
"6103.29.20.54","5","Other (838)","[""doz."",""kg""]","","","","",""
"","4","Sweaters:","","","","","",""
"6103.29.20.58","5","Subject to cotton restraints (345)","[""doz."",""kg""]","","","","",""
"6103.29.20.60","5","Subject to wool restraints (445)","[""doz."",""kg""]","","","","",""
"6103.29.20.62","5","Subject to man-made fiber restraints (645)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"","6","Of silk:","","","","","",""
"6103.29.20.64","7","Containing 70 percent or more by weight of silk or silk waste (745)","[""doz."",""kg""]","","","","",""
"","7","Other:","","","","","",""
"6103.29.20.66","8","Assembled in Hong Kong from knit-to-shape component parts knitted elsewhere (846)","[""doz."",""kg""]","","","","",""
"6103.29.20.68","8","Other (846)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6103.29.20.70","7","Assembled in Hong Kong from knit-to-shape component parts knitted elsewhere (845)","[""doz."",""kg""]","","","","",""
"6103.29.20.74","7","Other (845)","[""doz."",""kg""]","","","","",""
"","4","Other:","","","","","",""
"6103.29.20.80","5","Containing 70 percent or more by weight of silk or silk waste (759)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.29.20.82","5","Other (859)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","1","Suit-type jackets and blazers:","","","","","",""
"6103.31.00.00","2","Of wool or fine animal hair (433)","[""doz."",""kg""]","38.6¢/kg + 10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6103.32.00.00","2","Of cotton (333)","[""doz."",""kg""]","13.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6103.33","2","Of synthetic fibers:","","","","","",""
"6103.33.10.00","3","Containing 23 percent or more by weight of wool or fine animal hair (433)","[""doz."",""kg""]","38.6¢/kg + 10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6103.33.20.00","3","Other (633)","[""doz."",""kg""]","28.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6103.39","2","Of other textile materials:","","","","","",""
"6103.39.10.00","3","Of artificial fibers (633)","[""doz."",""kg""]","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6103.39.40.00","3","Containing 70 percent or more by weight of silk or silk waste (733)","[""doz."",""kg""]","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6103.39.80","3","Other","","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"6103.39.80.10","4","Subject to cotton restraints (333)","[""doz."",""kg""]","","","","",""
"6103.39.80.20","4","Subject to wool restraints (433)","[""doz."",""kg""]","","","","",""
"6103.39.80.30","4","Subject to man-made fiber restraints (633)","[""doz."",""kg""]","","","","",""
"6103.39.80.60","4","Other (833)","[""doz."",""kg""]","","","","",""
"","1","Trousers, bib and brace overalls, breeches and shorts:","","","","","",""
"6103.41","2","Of wool or fine animal hair:","","","","","",""
"6103.41.10","3","Trousers, breeches and shorts","","61.1¢/kg + 15.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6103.41.10.10","4","Trousers and breeches (447)","[""doz."",""kg""]","","","","",""
"6103.41.10.20","4","Shorts (447)","[""doz."",""kg""]","","","","",""
"6103.41.20.00","3","Bib and brace overalls (459)","[""doz."",""<u>kg<\/u>""]","13.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","54.5%","",""
"6103.42","2","Of cotton:","","","","","",""
"6103.42.10","3","Trousers, breeches and shorts","","16.1%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","45%","",""
"","4","Trousers and breeches:","","","","","",""
"6103.42.10.20","5","Men's (347)","[""doz."",""kg""]","","","","",""
"","5","Boys':","","","","","",""
"6103.42.10.35","6","Imported as parts of play suits (237)","[""doz."",""kg""]","","","","",""
"6103.42.10.40","6","Other (347)","[""doz."",""kg""]","","","","",""
"","4","Shorts:","","","","","",""
"6103.42.10.50","5","Men's (347)","[""doz."",""kg""]","","","","",""
"","5","Boys':","","","","","",""
"6103.42.10.65","6","Imported as parts of play suits (237)","[""doz."",""kg""]","","","","",""
"6103.42.10.70","6","Other (347)","[""doz."",""kg""]","","","","",""
"6103.42.20","3","Bib and brace overalls","","10.3%","Free (AU,BH,CL, CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6103.42.20.10","4","Insulated, for cold weather protection(359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","4","Other:","","","","","",""
"6103.42.20.15","5","Boys' sizes 2-7 (237)","[""doz."",""kg""]","","","","",""
"6103.42.20.25","5","Other (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.43","2","Of synthetic fibers:","","","","","",""
"","3","Trousers, breeches and shorts:","","","","","",""
"6103.43.10","4","Containing 23 percent or more by weight of wool or fine animal hair","","58.5¢/kg + 15.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","77.2¢/kg + 54.5%","",""
"6103.43.10.10","5","Trousers and breeches (447)","[""doz."",""kg""]","","","","",""
"6103.43.10.20","5","Shorts (447)","[""doz."",""kg""]","","","","",""
"6103.43.15","4","Other","","28.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"","5","Trousers and breeches:","","","","","",""
"6103.43.15.20","6","Men's (647)","[""doz."",""kg""]","","","","",""
"","6","Boys':","","","","","",""
"6103.43.15.35","7","Imported as parts of play suits (237)","[""doz."",""kg""]","","","","",""
"6103.43.15.40","7","Other (647)","[""doz."",""kg""]","","","","",""
"","5","Shorts:","","","","","",""
"6103.43.15.50","6","Men's (647)","[""doz."",""kg""]","","","","",""
"","6","Boys':","","","","","",""
"6103.43.15.65","7","Imported as parts of play suits (237)","[""doz."",""kg""]","","","","",""
"6103.43.15.70","7","Other (647)","[""doz."",""kg""]","","","","",""
"6103.43.20","3","Bib and brace overalls","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6103.43.20.10","4","Containing 23 percent or more by weight of wool or fine animal hair (459)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","4","Other:","","","","","",""
"6103.43.20.15","5","Insulated, for cold weather protection (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","5","Other:","","","","","",""
"6103.43.20.20","6","Men's (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.43.20.25","6","Boys' (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.49","2","Of other textile materials:","","","","","",""
"","3","Of artificial fibers:","","","","","",""
"6103.49.10","4","Trousers, breeches and shorts","","28.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6103.49.10.10","5","Containing 23 percent or more by weight of wool or fine animal hair (447)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6103.49.10.20","6","Trousers and breeches (647)","[""doz."",""kg""]","","","","",""
"6103.49.10.60","6","Shorts (647)","[""doz."",""kg""]","","","","",""
"6103.49.20.00","4","Bib and brace overalls (659)","[""doz."",""<u>kg<\/u>""]","13.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6103.49.40","3","Containing 70 percent or more by weight of silk or silk waste","","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6103.49.40.10","4","Trousers, breeches and shorts (747)","[""doz."",""kg""]","","","","",""
"6103.49.40.20","4","Bib and brace overalls (759)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.49.80","3","Other","","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"","4","Trousers, breeches and shorts:","","","","","",""
"6103.49.80.10","5","Subject to cotton restraints (347)","[""doz."",""kg""]","","","","",""
"6103.49.80.12","5","Subject to wool restraints (447)","[""doz."",""kg""]","","","","",""
"6103.49.80.14","5","Subject to man-made fiber restraints (647)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6103.49.80.24","6","Trousers and breeches (847)","[""doz."",""kg""]","","","","",""
"6103.49.80.26","6","Shorts (847)","[""doz."",""kg""]","","","","",""
"","4","Bib and brace overalls:","","","","","",""
"6103.49.80.34","5","Subject to cotton restraints (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.49.80.36","5","Subject to wool restraints (459)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.49.80.38","5","Subject to man-made fiber restraints (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6103.49.80.60","5","Other (859)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104","0","Women's or girls' suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:","","","","","",""
"","1","Suits:","","","","","",""
"6104.13","2","Of synthetic fibers:","","","","","",""
"6104.13.10.00","3","Containing 23 percent or more by weight of wool or fine animal hair (444)","[""No."",""kg""]","Free","","54.5%","",""
"6104.13.20.00","3","Other (644)","[""No."",""kg""]","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","72%","",""
"6104.19","2","Of other textile materials:","","","","","",""
"","3","Of artificial fibers:","","","","","",""
"6104.19.10.00","4","Containing 23 percent or more by weight of wool or fine animal hair (444)","[""No."",""kg""]","8.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","54.5%","",""
"6104.19.15.00","4","Other (644)","[""No."",""kg""]","Free","","72%","",""
"6104.19.40.00","3","Containing 70 percent or more by weight of silk or silk waste (744)","[""No."",""kg""]","0.9%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"6104.19.50.00","3","Of wool or fine animal hair (444)","[""No."",""kg""]","13.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","54.5%","",""
"6104.19.60","3","Of cotton","","9.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6104.19.60.10","4","Jackets imported as parts of suits (335)","[""doz."",""kg""]","","","","",""
"6104.19.60.20","4","Skirts and divided skirts imported as parts of suits (342)","[""doz."",""kg""]","","","","",""
"6104.19.60.30","4","Trousers, breeches and shorts imported as parts of suits (348)","[""doz."",""kg""]","","","","",""
"6104.19.60.40","4","Waistcoats imported as parts of suits (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104.19.80","3","Other","","5.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"","4","Subject to cotton restraints:","","","","","",""
"6104.19.80.10","5","Jackets imported as parts of suits (335)","[""doz."",""kg""]","","","","",""
"6104.19.80.20","5","Skirts and divided skirts imported as parts of suits (342)","[""doz."",""kg""]","","","","",""
"6104.19.80.30","5","Trousers, breeches and shorts imported as parts of suits (348)","[""doz."",""kg""]","","","","",""
"6104.19.80.40","5","Waistcoats imported as parts of suits (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104.19.80.50","4","Subject to wool restraints (444)","[""No."",""kg""]","","","","",""
"6104.19.80.60","4","Subject to man-made fiber restraints (644)","[""No."",""kg""]","","","","",""
"6104.19.80.90","4","Other (844)","[""No."",""kg""]","","","","",""
"","1","Ensembles:","","","","","",""
"6104.22.00","2","Of cotton","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"6104.22.00.10","3","Garments described in heading 6102; jackets and blazers described in heading 6104 (335)","[""doz."",""kg""]","","","","",""
"6104.22.00.30","3","Skirts and divided skirts (342)","[""doz."",""kg""]","","","","",""
"6104.22.00.40","3","Trousers and breeches (348)","[""doz."",""kg""]","","","","",""
"6104.22.00.50","3","Shorts (348)","[""doz."",""kg""]","","","","",""
"6104.22.00.60","3","Blouses, shirts and tops (339)","[""doz."",""kg""]","","","","",""
"6104.22.00.80","3","Sweaters (345)","[""doz."",""kg""]","","","","",""
"6104.22.00.90","3","Other (359)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104.23.00","2","Of synthetic fibers","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"","3","Containing 23 percent or more by weight of wool or fine animal hair:","","","","","",""
"6104.23.00.10","4","Garments described in heading 6102; jackets and blazers described in heading 6104 (435)","[""doz."",""kg""]","","","","",""
"6104.23.00.14","4","Skirts and divided skirts (442)","[""doz."",""kg""]","","","","",""
"6104.23.00.16","4","Trousers, breeches and shorts (448)","[""doz."",""kg""]","","","","",""
"6104.23.00.20","4","Blouses, shirts and tops (438)","[""doz."",""kg""]","","","","",""
"6104.23.00.22","4","Sweaters (446)","[""doz."",""kg""]","","","","",""
"6104.23.00.24","4","Other (459)","[""doz."",""<u>kg<\/u>""]","","","","",""
"","3","Other:","","","","","",""
"6104.23.00.26","4","Garments described in heading 6102; jackets and blazers described in heading 6104 (635)","[""doz."",""kg""]","","","","",""
"6104.23.00.30","4","Skirts and divided skirts (642)","[""doz."",""kg""]","","","","",""
"6104.23.00.32","4","Trousers and breeches (648)","[""doz."",""kg""]","","","","",""
"6104.23.00.34","4","Shorts (648)","[""doz."",""kg""]","","","","",""
"6104.23.00.36","4","Blouses, shirts and tops (639)","[""doz."",""kg""]","","","","",""
"6104.23.00.40","4","Sweaters (646)","[""doz."",""kg""]","","","","",""
"6104.23.00.42","4","Other (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104.29","2","Of other textile materials:","","","","","",""
"6104.29.05","3","Of wool or fine animal hair","","The rate applicable to each garment in the ensemble if separately entered","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if separately entered","",""
"6104.29.05.10","4","Garments described in heading 6102; jackets and blazers described in heading 6104 (435)","[""doz."",""kg""]","","","","",""
"6104.29.05.30","4","Skirts and divided skirts (442)","[""doz."",""kg""]","","","","",""
"6104.29.05.40","4","Trousers, breeches and shorts (448)","[""doz."",""kg""]","","","","",""
"6104.29.05.60","4","Blouses and shirts (438)","[""doz."",""kg""]","","","","",""
"6104.29.05.70","4","Sweaters (446)","[""doz."",""kg""]","","","","",""
"6104.29.05.80","4","Other (459)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6104.29.10","3","Of artificial fibers","","The rate applicable to each garment in the ensemble if entered separately","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","The rate applicable to each garment in the ensemble if entered separately","",""
"6104.29.10.10","4","Garments described in heading 6102; jackets and blazers described in heading 6104 (635)","[""doz."",""kg""]","","","","",""
