HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5111.11","2","Of a weight not exceeding 300 g/m<sup>2</sup>:","","","","","",""
"5111.11.20.00","3","Tapestry fabrics and upholstery fabrics of a weight not exceeding 140 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","3","Other:","","","","","",""
"5111.11.30.00","4","Hand-woven, with a loom width of less than <il>76 cm</il> (410)","[""m<sup>2<\/sup>"",""kg""]","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.10/kg + 60%","",""
"5111.11.70","4","Other","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.11.70.30","5","Wholly or in part of fine animal hair (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5111.11.70.60","5","Other (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5111.19","2","Other:","","","","","",""
"5111.19.10.00","3","Tapestry fabrics and upholstery fabrics (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","3","Other:","","","","","",""
"5111.19.20.00","4","Hand-woven, with a loom width of less than <il>76 cm</il> (410)","[""m<sup>2<\/sup>"",""kg""]","10%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.10/kg + 60%","",""
"5111.19.60","4","Other","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","5","Wholly or in part of fine animal hair:","","","","","",""
"5111.19.60.20","6","Weighing not more than <il>400 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5111.19.60.40","6","Weighing more than <il>400 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"5111.19.60.60","6","Weighing not more than 400 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5111.19.60.80","6","Weighing more than 400 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5111.20","1","Other, mixed mainly or solely with man-made filaments:","","","","","",""
"5111.20.05.00","2","Tapestry fabrics and upholstery fabrics of a weight exceeding <il>300 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.20.10.00","2","Tapestry fabrics and upholstery fabrics of a weight not exceeding <il>140 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.20.90.00","2","Other (410)","[""m<sup>2<\/sup>"",""kg""]","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48.5¢/kg + 68.5%","",""
"5111.30","1","Other, mixed mainly or solely with man-made staple fibers:","","","","","",""
"5111.30.05.00","2","Tapestry fabrics and upholstery fabrics of a weight exceeding <il>300 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.30.10.00","2","Tapestry fabrics and upholstery fabrics of a weight not exceeding <il>140 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.30.90.00","2","Other (410)","[""m<sup>2<\/sup>"",""kg""]","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48.5¢/kg + 68.5%","",""
"5111.90","1","Other:","","","","","",""
"5111.90.30.00","2","Containing 30 percent or more by weight of silk or silk waste, valued over <il>$33/kg</il> (410)","[""m<sup>2<\/sup>"",""kg""]","6.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","2","Other:","","","","","",""
"5111.90.40.00","3","Tapestry fabrics and upholstery fabrics of a weight exceeding <il>300 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.90.50.00","3","Tapestry fabrics and upholstery fabrics of a weight not exceeding <il>140 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5111.90.90.00","3","Other (410)","[""m<sup>2<\/sup>"",""kg""]","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112","0","Woven fabrics of combed wool or of combed fine animal hair:","","","","","",""
"","1","Containing 85 percent or more by weight of wool or of fine animal hair:","","","","","",""
"5112.11","2","Of a weight not exceeding <il>200g/m<sup>2</sup>:</il>","","","","","",""
"5112.11.10.00","3","Tapestry fabrics and upholstery fabrics of a weight not exceeding <il>140 g/m<sup>2</sup></il> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","3","Other:","","","","","",""
"5112.11.30","4","Of wool yarns with an average fiber diameter of 18.5 microns or less","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.11.30.30","5","Containing fine animal hair (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.11.30.60","5","Other (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.11.60","4","Other","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.11.60.30","5","Wholly or in part of fine animal hair (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.11.60.60","5","Other (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19","2","Other:","","","","","",""
"5112.19.20.00","3","Tapestry fabrics and upholstery fabrics (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","3","Other:","","","","","",""
"5112.19.60","4","Of wool yarns with an average fiber diameter of 18.5 microns or less","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","5","Containing fine animal hair:","","","","","",""
"5112.19.60.10","6","Weighing not more than <il>270 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.60.20","6","Weighing more than <il>270 g/m<sup>2</sup></il> but not more than <il>340 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.60.30","6","Weighing more than <il>340 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"5112.19.60.40","6","Weighing not more than <il>270 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.60.50","6","Weighing more than <il>270 g/m<sup>2</sup></il> but not more than <il>340 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.60.60","6","Weighing more than 340 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.95","4","Other","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"","5","Wholly or in part of fine animal hair:","","","","","",""
"5112.19.95.10","6","Weighing not more than <il>270 g/m<sup>2</sup></il> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.95.20","6","Weighing more than 270 g/m<sup>2</sup> but not more than 340 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.95.30","6","Weighing more than 340 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"5112.19.95.40","6","Weighing not more than 270 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.95.50","6","Weighing more than 270 g/m<sup>2</sup> but not more than 340 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.19.95.60","6","Weighing more than 340 g/m<sup>2</sup> (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.20","1","Other, mixed mainly or solely with man-made filaments:","","","","","",""
"5112.20.10.00","2","Tapestry fabrics and upholstery fabrics of a weight exceeding 300 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.20.20.00","2","Tapestry fabrics and upholstery fabrics of a weight not exceeding 140 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.20.30.00","2","Other (410)","[""m<sup>2<\/sup>"",""kg""]","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48.5¢/kg + 68.5%","",""
"5112.30","1","Other, mixed mainly or solely with man-made staple fibers:","","","","","",""
"5112.30.10.00","2","Tapestry fabrics and upholstery fabrics of a weight exceeding 300 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.30.20.00","2","Tapestry fabrics and upholstery fabrics of a weight not exceeding 140 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.30.30.00","2","Other (410)","[""m<sup>2<\/sup>"",""kg""]","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48.5¢/kg + 68.5%","",""
"5112.90","1","Other:","","","","","",""
"5112.90.30.00","2","Containing 30 percent or more by weight of silk or silk waste, valued over $33/kg (410)","[""m<sup>2<\/sup>"",""kg""]","6.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","2","Other:","","","","","",""
"5112.90.40.00","3","Tapestry fabrics and upholstery fabrics of a weight exceeding 300 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""kg""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.90.50.00","3","Tapestry fabrics and upholstery fabrics of a weight not exceeding 140 g/m<sup>2</sup> (414)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.90.90","3","Other","","25%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5112.90.90.10","4","Mixed mainly or solely with cotton (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5112.90.90.90","4","Other (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5113.00.00.00","0","Woven fabrics of coarse animal hair or of horsehair","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
